Name,Category,Calories,Protein,Fat,Carbs,Fiber,Sugar,AddedSugar,WholeGrains,SaturatedFat,MonounsaturatedFat,PolyunsaturatedFat,Cholesterol,VitaminD,VitaminB12,Iron,Zinc,Calcium,Omega3,Omega6,IsVegan
Nöt talg,"Fett, olja",656,7.0,71.0,0.0,0.0,0.0,0,0,35.8,28.8,2.8,109.0,0.1,0.0,0.3,0.1,0,0.3,2.4,False
Gris späck,"Fett, olja",763,2.8,85.0,0.0,0.0,0.0,0,0,32.8,38.5,9.0,57.0,0.6,0.6,0.2,0.4,4,0.7,7.8,False
Gris ister,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,48.8,37.5,9.4,95.0,0.0,0.0,0.1,0.1,1,0.7,7.9,False
Kokosfett,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,90.6,7.3,1.8,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8,True
Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Fett, olja",712,0.5,80.0,0.5,0.0,0.6,0,0,39.2,26.5,8.5,180.0,20.0,0.1,0.2,0.1,18,2.4,6.1,False
Matfettsblandning fett 60% berikad typ Bregott mellan,"Fett, olja",534,0.4,60.0,0.5,0.0,0.5,0,0,26.6,22.4,7.9,124.8,20.0,0.0,0.0,0.0,0,2.4,5.4,False
Flytande margarin fett 82% berikad typ Milda culinesse,"Fett, olja",725,0.0,82.0,0.0,0.0,0.0,0,0,7.3,42.5,28.7,0.0,7.5,0.0,0.0,0.0,0,8.8,19.8,True
Hushållsmargarin fett 80% berikad typ Melba,"Fett, olja",710,0.1,80.0,0.4,0.0,0.4,0,0,36.0,34.0,10.0,0.0,20.0,0.0,0.0,0.0,0,4.3,10.3,True
Hushållsmargarin fett 80% berikad typ Milda,"Fett, olja",712,0.5,80.0,0.5,0.0,0.3,0,0,32.0,30.0,18.0,0.0,20.0,0.0,0.0,0.0,0,4.3,10.3,True
Lättmargarin fett 38% berikad typ Becel,"Fett, olja",348,0.0,38.0,3.0,0.0,0.0,0,0,8.0,11.0,19.0,0.0,20.0,0.0,0.0,0.0,0,3.7,14.2,True
Lättmargarin fett 40% berikad typ Lätt & lagom,"Fett, olja",381,0.5,40.0,6.2,0.0,0.5,0,0,12.4,18.1,6.9,40.0,20.0,0.1,0.1,0.0,60,2.2,4.6,False
Majonnäs fett 90% hemlagad,Rätter,782,1.5,87.6,0.4,0.1,0.1,0,0,9.3,57.4,16.9,75.2,0.29,0.29,0.4,0.3,34,4.4,12.4,False
Sesamsås m. grädde,Rätter,361,2.3,37.8,3.9,0.6,3.3,0,0,14.1,15.2,6.0,54.6,0.86,0.27,0.3,0.4,87,1.4,4.6,False
Gravlaxsås hovmästarsås hemlagad,Rätter,438,2.1,42.4,13.3,0.4,7.8,8,0,3.0,26.0,11.6,0.0,0.0,0.0,1.1,0.6,88,3.7,7.9,False
Gravlaxsås kylvara,Rätter,555,1.6,56.0,13.1,0.0,10.3,10,0,8.2,13.4,32.0,0.0,0.0,0.0,1.9,0.1,58,4.0,28.0,False
Remouladsås,Rätter,707,1.5,78.7,1.1,0.3,0.5,0,0,8.3,51.5,15.2,67.4,0.26,0.26,0.4,0.3,37,4.0,11.1,False
Dressing vinägrett fett 45%,Rätter,406,0.7,44.2,2.9,0.2,0.4,0,0,3.1,27.1,12.1,0.0,0.0,0.0,0.4,0.1,46,3.8,8.3,True
Smör fett 80%,"Fett, olja",729,0.4,82.0,0.5,0.0,0.5,0,0,55.0,19.1,3.0,256.0,0.51,0.0,0.0,0.0,0,0.5,2.2,False
Smör extrasaltat fett 80%,"Fett, olja",728,0.6,81.8,0.5,0.0,0.5,0,0,52.4,22.7,2.9,256.0,0.56,0.0,0.2,0.1,18,0.4,2.0,False
Smör osaltat fett 80%,"Fett, olja",728,0.6,81.8,0.5,0.0,0.5,0,0,52.4,22.7,2.9,256.0,0.56,0.0,0.2,0.0,15,0.4,2.0,False
Druvkärnolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,11.2,18.2,66.7,0.0,0.0,0.0,0.0,0.0,0,0.4,65.9,True
Majsolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,12.9,28.2,54.5,0.0,0.0,0.0,0.0,0.0,0,0.9,53.6,True
Olivolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,14.3,72.6,8.8,0.0,0.0,0.0,0.0,0.0,0,0.7,8.1,True
Tistelolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,9.0,10.9,75.7,0.0,0.0,0.0,0.0,0.0,0,0.2,75.5,True
Sesamolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,14.8,39.1,41.7,0.0,0.0,0.0,0.0,0.0,0,0.4,41.3,True
Sojaolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,14.9,22.3,58.4,0.0,0.0,0.0,0.0,0.0,0,7.4,51.1,True
Solrosolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,10.4,28.9,56.3,0.0,0.0,0.0,0.0,0.0,0,0.1,56.2,True
Vetegroddsolja,"Fett, olja",884,0.0,100.0,0.0,0.0,0.0,0,0,16.6,19.3,59.7,0.0,0.0,0.0,0.0,3.8,0,5.4,54.2,True
Dressing konserv. fett ca 25%,Rätter,262,0.5,25.0,9.7,0.0,3.6,4,0,3.7,5.8,14.4,26.0,0.0,0.0,0.2,0.1,9,1.8,12.5,False
Dressing till sallad m. majonnäs fett ca 25% kylvara,Rätter,303,0.5,25.0,19.7,0.0,18.2,18,0,3.8,5.3,14.6,26.0,0.0,0.0,0.1,0.1,14,1.9,12.7,False
Dressing fett 0%,Rätter,60,1.6,0.0,13.1,0.0,10.4,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,13,0.0,0.0,True
Majonnäs fett 80%,Rätter,666,1.3,72.4,5.0,0.0,1.5,2,0,5.0,43.7,20.2,40.3,0.21,0.33,0.3,0.2,8,6.5,13.7,False
Gurkmajonnäs gurksallad gatukök,Rätter,333,0.8,32.0,10.9,1.1,10.2,10,0,3.8,13.2,13.5,48.0,0.0,0.2,0.6,0.2,24,2.4,11.1,False
Räkmajonnäs räksallad gatukök,Rätter,457,5.2,48.0,2.9,0.0,1.2,1,0,5.7,19.6,20.4,101.0,0.12,1.0,0.7,0.3,31,3.6,16.8,False
Majonnäs lätt fett 30%,Rätter,323,1.5,30.9,10.7,0.0,3.9,4,0,2.1,19.0,8.3,21.5,0.0,0.2,0.3,0.2,34,2.6,5.6,False
Mimosasallad,Rätter,147,0.8,11.7,9.1,1.4,8.2,0,0,3.2,6.1,1.6,17.5,0.03,0.06,0.2,0.1,19,0.4,1.2,False
Rödbetssallad m. gräddfil hemlagad,Rätter,64,1.1,1.9,9.9,1.5,9.3,5,0,1.2,0.4,0.1,6.0,0.0,0.0,0.2,0.2,29,0.0,0.1,False
Sallad m. skaldjur majonnäsdressing,Rätter,110,5.8,8.5,2.4,1.0,1.7,0,0,1.6,4.6,1.6,52.1,0.11,1.19,0.8,0.7,34,0.4,1.1,False
Bearnaisesås hemlagad,Rätter,510,2.6,55.9,1.2,0.1,0.4,0,0,6.3,31.1,15.5,152.5,2.92,0.48,0.6,0.6,30,3.7,11.7,False
Hollandaisesås hemlagad,Rätter,500,3.0,54.8,0.7,0.0,0.4,0,0,28.1,17.1,7.2,249.9,6.28,0.54,0.5,0.6,26,1.5,4.4,False
Rhode Islandsås hemlagad,Rätter,356,1.8,36.5,6.3,0.4,5.4,3,0,8.9,20.0,5.5,50.9,0.1,0.15,0.5,0.3,51,1.4,4.1,False
Dressing vinägrett fett 65%,Rätter,586,0.6,65.0,2.2,0.0,1.0,0,0,9.5,15.5,37.1,0.0,0.0,0.0,0.3,0.1,22,4.7,32.4,True
Bearnaisesås tillagad frysvara el. pulver,Rätter,224,2.6,21.0,6.7,0.0,3.1,3,0,7.5,9.4,3.2,74.0,0.2,0.0,0.3,0.0,62,0.6,2.6,False
Hollandaisesås tillagad frysvara el. pulver,Rätter,232,2.6,22.0,6.6,0.0,3.1,3,0,7.8,9.8,3.4,74.0,0.2,0.0,0.3,0.0,57,0.6,2.7,False
Mesost fett ca 30%,Pålägg,460,11.0,29.0,39.0,0.0,39.0,2,0,19.4,6.9,0.4,96.0,0.1,1.1,0.3,0.6,350,0.2,0.4,False
Messmör fett 5% berikad,Pålägg,260,7.0,5.0,46.0,0.0,48.0,5,0,3.3,1.2,0.1,17.6,0.04,0.4,5.0,0.2,280,0.0,0.1,False
Messmör fett 2% berikad,Pålägg,245,7.0,2.0,49.0,0.0,49.0,4,0,1.3,0.5,0.0,6.4,0.01,0.4,5.0,0.2,280,0.0,0.0,False
Färskost cottage cheese naturell fett 4%,Pålägg,100,13.4,4.3,1.9,0.0,1.6,0,0,2.8,1.0,0.2,17.4,0.0,0.6,0.0,0.3,50,0.0,0.1,False
Färskost cottage cheese m. frukt fett 3%,Pålägg,105,10.3,2.8,9.1,1.0,8.8,7,0,1.8,0.7,0.1,11.8,0.1,0.26,0.1,0.3,34,0.0,0.1,False
"Färskost cottage cheese m. grönsaker fett 3,5-5%",Pålägg,94,12.2,4.2,0.9,1.7,1.7,0,0,2.7,1.1,0.2,15.2,0.1,0.24,0.1,0.4,43,0.0,0.1,False
Färskost m. filmjölk fett ca 8%,Pålägg,119,8.0,8.4,2.9,0.0,2.8,0,0,5.6,1.9,0.2,27.0,0.06,0.6,0.1,0.4,68,0.0,0.1,False
Färskost m. filmjölk gräddfil fett ca 14% hemlagad,Pålägg,178,9.7,14.2,3.1,0.0,4.1,0,0,9.4,3.3,0.3,32.0,0.07,0.5,0.1,0.4,96,0.1,0.2,False
Kvarg färskost fett 1%,Mejeri,75,12.7,1.0,3.6,0.0,2.9,0,0,0.7,0.2,0.0,4.6,0.01,0.7,0.1,0.4,107,0.0,0.0,False
Kvarg färskost fett 10%,Mejeri,152,12.7,10.0,2.9,0.0,3.0,0,0,6.6,2.3,0.2,32.0,0.01,0.7,0.1,0.4,107,0.1,0.2,False
Ost hårdost fett 10%,Pålägg,226,32.4,10.0,1.5,0.0,0.0,0,0,6.6,2.3,0.2,29.0,0.07,1.9,0.2,4.0,970,0.1,0.2,False
Ost hårdost fett 23%,Pålägg,325,29.2,23.0,0.8,0.0,0.0,0,0,15.1,5.4,0.5,65.0,0.16,1.6,0.2,3.5,810,0.2,0.4,False
Ost hårdost fett 26%,Pålägg,337,24.9,26.0,1.4,0.0,0.0,0,0,17.0,6.1,0.7,73.0,0.18,1.6,0.1,3.0,770,0.2,0.4,False
Ost hårdost fett 38%,Pålägg,420,19.2,38.2,1.0,0.0,0.0,0,0,24.0,10.5,1.3,109.0,0.0,1.22,0.1,2.8,560,0.2,1.0,False
Vitmögelost camembert fett ca 22%,Pålägg,280,19.3,21.9,1.9,0.0,0.1,0,0,14.2,5.6,0.7,71.6,0.0,0.85,0.1,2.5,450,0.1,0.6,False
Ädelost blågrön mögelost fett 30%,Pålägg,336,21.2,28.2,0.2,0.0,0.1,0,0,18.4,7.0,1.0,88.0,0.0,0.77,0.1,2.7,520,0.1,0.8,False
Mjukost smältost fett 8%,Pålägg,135,16.0,7.1,1.7,0.0,0.0,0,0,4.6,1.8,0.2,25.1,0.0,0.6,0.1,2.2,460,0.0,0.2,False
Mjukost smältost fett 10%,Pålägg,154,16.0,10.1,0.0,0.0,0.0,0,0,6.6,2.5,0.3,25.1,0.0,0.6,0.1,2.2,460,0.1,0.3,False
Mjukost smältost fett ca 20%,Pålägg,246,15.4,20.8,0.0,0.0,0.1,0,0,13.2,5.6,0.8,53.4,0.0,0.65,0.1,2.2,440,0.1,0.6,False
Mjukost smältost fett ca 16%,Pålägg,194,15.4,14.0,2.0,0.0,0.1,0,0,8.8,3.7,0.5,53.4,0.0,0.65,0.1,2.2,440,0.1,0.4,False
Mjukost smältost fett 4%,Pålägg,117,14.3,4.0,5.7,0.0,1.2,0,0,2.6,1.0,0.1,10.0,0.02,0.4,0.3,2.6,513,0.0,0.1,False
Vitmögelost brie fett ca 38%,Pålägg,374,15.6,34.2,1.9,0.0,0.1,0,0,23.1,8.0,1.0,111.0,0.0,0.79,0.1,2.2,420,0.1,0.8,False
Ädelost grönmögelost fett 17%,Pålägg,315,31.4,20.8,0.9,0.0,0.8,0,0,13.1,5.5,0.9,60.0,0.0,2.25,0.1,4.8,829,0.1,0.5,False
Salladsost fett 22%,Pålägg,272,16.7,22.1,2.1,0.0,0.2,0,0,14.2,4.9,1.0,59.8,0.0,0.55,0.1,1.3,242,0.2,0.8,False
Ost hårdost fett 17%,Pålägg,287,30.4,17.7,1.7,0.0,0.0,0,0,11.4,4.6,0.6,59.1,0.0,2.06,0.1,4.2,880,0.1,0.5,False
Ost hårdost fett 28%,Pålägg,358,26.2,27.1,3.0,0.0,0.0,0,0,17.8,6.2,1.0,66.3,0.1,1.85,0.1,3.5,689,0.2,0.8,False
Ost hårdost fett 31%,Pålägg,392,25.2,31.2,3.3,0.0,0.0,0,0,20.7,7.1,1.1,76.8,0.09,1.65,0.1,3.2,676,0.2,0.8,False
Vitmögelost brie fett 30%,Pålägg,348,17.0,30.2,2.8,0.0,0.1,0,0,19.5,7.3,1.1,59.6,0.2,1.13,0.1,2.4,409,0.2,0.8,False
Ost halloumi rå fett 22%,Pålägg,292,22.3,21.9,1.9,0.0,0.9,0,0,14.9,4.6,0.8,71.0,0.16,0.64,0.2,3.0,633,0.1,0.6,False
Färskost fett 33%,Pålägg,343,10.2,33.0,2.4,0.0,2.7,0,0,21.4,8.5,0.8,110.0,0.33,0.2,0.3,0.5,200,0.2,0.6,False
Ädelost blågrön mögelost fett över 40%,Pålägg,432,13.4,42.1,1.2,0.0,0.1,0,0,28.3,9.8,1.3,118.0,0.0,0.81,0.1,1.9,340,0.2,1.0,False
