workout,start,end,exercise,weight,bodyweight,extraWeight,assistingWeight,distanceKM,distanceM,reps,rpm,time-per-500,calories,time,warmup,max,fail,checked,setComment,workoutComment,form,sleep,calories,stress
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Push-Up,,80,0,,,,10,,,,,false,false,false,1767816812280,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Push-Up,,80,5,,,,10,,,,,false,false,false,1767816874751,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Push-Up,,80,25,,,,10,,,,,false,false,false,1767817221522,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Push-Up,,80,25,,,,4,,,,,false,false,false,1767817498364,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Push-Up,,80,15,,,,15,,,,,false,false,false,1767817582891,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Barbell Shrug,55,,,,,,40,,,,,false,false,false,1767816979758,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Barbell Shrug,57,,,,,,42,,,,,false,false,false,1767817351469,,,,,,
"Wednesday Evening: Back, Quads, Posterior thighs etc.",1767816774785,1767817930816,Squat,55,,,,,,20,,,,,false,false,false,1767817819366,,,,,,
Kettle,1767732097123,1767733934274,Barbell Shrug,55,,,,,,25,,,,,false,false,false,1767732233599,,,,,,
Kettle,1767732097123,1767733934274,Barbell Shrug,75,,,,,,15,,,,,false,false,false,1767732438864,,,,,,
Kettle,1767732097123,1767733934274,Barbell Shrug,85,,,,,,15,,,,,false,false,false,1767732745613,,,,,,
Kettle,1767732097123,1767733934274,Barbell Shrug,95,,,,,,5,,,,,false,false,false,1767733313422,,,,,,
Kettle,1767732097123,1767733934274,Barbell Shrug,117.5,,,,,,3,,,,,false,false,false,1767733918268,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,55,,,,,,11,,,,,false,false,false,1767732167092,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,75,,,,,,5,,,,,false,false,false,1767732437012,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,85,,,,,,9,,,,,false,false,false,1767732674600,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,85,,,,,,1,,,,,false,false,false,1767732757955,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,95,,,,,,10,,,,,false,false,false,1767733318952,,,,,,
Kettle,1767732097123,1767733934274,Deadlift,117.5,,,,,,8,,,,,false,false,false,1767733924850,,,,,,
Kettle,1767732097123,1767733934274,Kettlebell Swing,24,,,,,,20,,,,,false,false,false,1767732290826,,,,,,
Kettle,1767732097123,1767733934274,Kettlebell Swing,32,,,,,,15,,,,,false,false,false,1767732508656,,,,,,
Kettle,1767732097123,1767733934274,Kettlebell Swing,36,,,,,,5,,,,,false,false,false,1767732810815,,,,,,
