"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Squat (Barbell)",,"",0,"normal",60,5,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Squat (Barbell)",,"",1,"normal",90,5,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Squat (Barbell)",,"",2,"normal",100,3,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Calf Press on Seated Leg Press",,"Två ben",0,"normal",170,10,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Calf Press on Seated Leg Press",,"Två ben",1,"normal",170,13,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Lying Leg Curl (Machine)",,"",0,"normal",52.5,8,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Lying Leg Curl (Machine)",,"",1,"normal",50,7,,,
"Lower","7 Jan 2026, 19:21","7 Jan 2026, 20:01","","Leg Extension (Machine)",,"",0,"normal",80,10,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Bench Press (Barbell)",,"",0,"normal",60,5,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Bench Press (Barbell)",,"",1,"normal",80,5,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Bench Press (Barbell)",,"",2,"normal",80,7,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",65,8,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",75,8,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",80,7,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Lateral Raise (Machine)",,"",0,"normal",55,9,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Lateral Raise (Machine)",,"",1,"normal",55,7,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Chest Press (Machine)",,"",0,"normal",80,8,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Chest Press (Machine)",,"",1,"normal",90,5,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Lat Pulldown (Cable)",,"",0,"normal",70,12,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Preacher Curl (Machine)",,"",0,"normal",30,10,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Preacher Curl (Machine)",,"",1,"normal",20,7,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Triceps Extension (Cable)",,"Litet svart rep",0,"normal",27.5,10,,,
"Upper","2 Jan 2026, 17:07","2 Jan 2026, 17:58","","Triceps Rope Pushdown",,"",0,"normal",25,8,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Incline Chest Press (Machine)",,"Hoist. Inre grepp. Stol 4",0,"normal",50,8,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Incline Chest Press (Machine)",,"Hoist. Inre grepp. Stol 4",1,"normal",80,8,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Incline Chest Press (Machine)",,"Hoist. Inre grepp. Stol 4",2,"normal",100,9,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",60,8,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",80,9,,,
"Upper","30 Dec 2025, 19:20","30 Dec 2025, 20:04","","Lateral Raise (Dumbbell)",,"",0,"normal",11,9,,,
